time,communication_mode,recovery_policy,leader_node_id,failure_active,recovery_active,stabilization_active,active_node_count,effective_recovery_policy,decision_reason,scene_type,operation_mode
27.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
27.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
28.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
28.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
29.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
29.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
30.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
30.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
31.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
31.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
32.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
32.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
33.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
33.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
34.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
34.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
35.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
35.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
36.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
36.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
37.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
37.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
38.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
38.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
39.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
39.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
40.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
40.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
41.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
41.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
42.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
42.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
43.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
43.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
44.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
44.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
45.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
45.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
46.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
46.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
47.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
47.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
48.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
48.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
49.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
49.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
50.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
50.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
51.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
51.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
52.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
52.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
53.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
53.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
54.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
54.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
55.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
55.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
56.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
56.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
57.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
57.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
58.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
58.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
59.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
59.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
60.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
60.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
61.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
61.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
62.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
62.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
63.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
63.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
64.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
64.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
65.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
65.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
66.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
66.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
67.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
67.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
68.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
68.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
69.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
69.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
70.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
70.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
71.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
71.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
72.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
72.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
73.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
73.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
74.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
74.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
75.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
75.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
76.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
76.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
77.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
77.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
78.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
78.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
79.1,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
79.6,hybrid,global_recovery,0,false,false,false,15,global_recovery,requested_global_recovery_applied,urban,cooperative
80.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
80.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
81.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
81.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
82.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
82.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
83.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
83.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
84.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
84.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
85.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
85.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
86.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
86.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
87.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
87.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
88.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
88.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
89.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
89.6,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
90.1,hybrid,global_recovery,0,true,true,false,14,global_recovery,requested_global_recovery_applied,urban,cooperative
